season,player_name,team,rz_targets,rz_receptions,rz_catch_rate,rz_rec_yards,rz_rec_tds,rz_target_share,rz10_targets,rz10_receptions,rz10_catch_rate,rz10_rec_yards,rz10_rec_tds,rz10_target_share
2013,davone bess,CLE,6,2,33.33,18,1,8.2,2,1,50.0,1,1,4.9
2013,kenny britt,TEN,6,0,0.0,0,0,11.1,2,0,0.0,0,0,6.9
2013,maurice jones-drew,JAX,6,4,66.67,16,0,7.9,2,2,100.0,6,0,4.9
2013,zach ertz,PHI,6,4,66.67,34,3,10.7,3,2,66.67,9,2,13.0
2013,leonard hankerson,WAS,6,4,66.67,34,2,9.7,3,3,100.0,23,2,9.4
2013,clay harbor,JAX,6,3,50.0,47,2,7.9,2,0,0.0,0,0,4.9
2013,andre holmes,OAK,6,3,50.0,23,1,11.3,3,2,66.67,8,1,10.3
2013,chris johnson,TEN,6,5,83.33,25,1,11.1,3,2,66.67,4,1,10.3
2013,darius johnson,ATL,6,3,50.0,30,1,6.6,3,1,33.33,5,0,6.1
2013,lance moore,NOR,6,4,66.67,41,1,7.3,1,0,0.0,0,0,2.4
2013,chris ogbonnaya,CLE,6,5,83.33,16,2,8.2,6,5,83.33,16,2,14.6
2013,andre roberts,ARI,6,2,33.33,25,1,8.8,3,0,0.0,0,0,9.1
2013,daniel thomas,MIA,6,5,83.33,17,2,9.4,3,3,100.0,9,2,11.5
2013,levine toilolo,ATL,6,3,50.0,2,2,6.6,6,3,50.0,2,2,12.2
2013,robert woods,BUF,6,2,33.33,25,2,16.2,3,1,33.33,7,1,16.7
2013,lavon brazill,IND,5,1,20.0,19,1,6.8,3,0,0.0,0,0,8.8
2013,donald brown,IND,5,4,80.0,25,1,6.8,2,2,100.0,3,0,5.9
2013,scott chandler,BUF,5,1,20.0,6,0,13.5,2,0,0.0,0,0,11.1
2013,jed collins,NOR,5,3,60.0,14,0,6.1,3,1,33.33,5,0,7.3
2013,michael crabtree,SFO,5,2,40.0,17,1,10.2,4,1,25.0,4,1,13.8
2013,owen daniels,HOU,5,3,60.0,22,3,7.7,3,2,66.67,10,2,7.9
