season,team_x,player_name,gsis_id,snaps,team_snaps,games_played,receptions,rec_yards,rec_tds,targets,air_yards,target_share,touch_perc,yards_after_catch,stand_fp,ppr_fp,half_ppr_fp,adot,team_y,rz_targets,rz_receptions,rz_catch_rate,rz_rec_yards,rz_rec_tds,rz_target_share,rz10_targets,rz10_receptions,rz10_catch_rate,rz10_rec_yards,rz10_rec_tds,rz10_target_share
2013,NYG,victor cruz,00-0027265,785,892.0,14.0,73.0,998.0,4.0,122.0,1459.0,15.54,15.54,250.0,123.80000000000001,196.8,160.3,11.959016393442623,NYG,11.0,5.0,45.45,42.0,2.0,20.0,6.0,3.0,50.0,17.0,1.0,30.0
2013,ATL,roddy white,00-0023462,782,898.0,13.0,63.0,711.0,3.0,97.0,981.0,12.4,12.4,115.0,89.10000000000001,152.10000000000002,120.60000000000001,10.11340206185567,ATL,10.0,4.0,40.0,25.0,1.0,11.0,5.0,3.0,60.0,15.0,1.0,10.2
2013,CAR,steve smith,00-0020337,770,971.0,15.0,64.0,745.0,4.0,110.0,1291.0,14.29,14.29,188.0,98.5,162.5,130.5,11.736363636363636,CAR,14.0,7.0,50.0,67.0,4.0,26.4,6.0,2.0,33.33,5.0,2.0,26.1
2013,DEN,wes welker,00-0022427,770,1001.0,13.0,73.0,778.0,10.0,111.0,1004.0,14.42,14.42,388.0,137.8,210.8,174.3,9.045045045045045,DEN,23.0,18.0,78.26,100.0,9.0,20.9,15.0,10.0,66.67,35.0,8.0,25.0
2013,SEA,golden tate,00-0027891,762,1012.0,16.0,64.0,898.0,5.0,99.0,1184.0,12.99,13.39,496.0,119.80000000000001,183.8,151.8,11.95959595959596,SEA,8.0,4.0,50.0,28.0,3.0,16.3,4.0,3.0,75.0,18.0,3.0,17.4
2013,JAX,cecil shorts,00-0028052,760,854.0,13.0,66.0,777.0,3.0,123.0,1293.0,16.18,16.18,275.0,95.7,161.7,128.7,10.512195121951219,JAX,14.0,3.0,21.43,17.0,2.0,18.4,11.0,3.0,27.27,17.0,2.0,26.8
2013,IND,ty hilton,00-0029608,759,1070.0,16.0,82.0,1083.0,5.0,139.0,1971.0,18.18,18.45,465.0,138.3,220.3,179.3,14.179856115107913,IND,14.0,7.0,50.0,51.0,2.0,19.2,7.0,4.0,57.14,30.0,2.0,20.6
2013,NO,marques colston,00-0024466,750,1053.0,15.0,75.0,943.0,5.0,111.0,1355.0,14.8,14.8,298.0,124.30000000000001,199.3,161.8,12.207207207207206,NOR,16.0,8.0,50.0,73.0,3.0,19.5,6.0,3.0,50.0,13.0,2.0,14.6
2013,CIN,mohamed sanu,00-0029632,750,1132.0,16.0,47.0,455.0,2.0,77.0,714.0,10.27,10.8,263.0,57.5,104.5,81.0,9.272727272727273,CIN,11.0,6.0,54.55,41.0,2.0,17.2,5.0,2.0,40.0,13.0,2.0,14.7
2013,SEA,doug baldwin,00-0028434,749,1012.0,16.0,50.0,778.0,5.0,72.0,1008.0,9.75,10.01,277.0,107.80000000000001,157.8,132.8,14.0,SEA,8.0,5.0,62.5,58.0,4.0,16.3,3.0,2.0,66.67,14.0,2.0,13.0
2013,OAK,rod streater,00-0029129,748,1036.0,16.0,60.0,888.0,4.0,100.0,1140.0,13.24,13.5,308.0,112.80000000000001,172.8,142.8,11.4,OAK,10.0,5.0,50.0,68.0,2.0,18.9,4.0,1.0,25.0,7.0,0.0,13.8
2013,MIN,greg jennings,00-0024267,742,967.0,15.0,68.0,804.0,4.0,106.0,1023.0,14.29,14.29,342.0,104.4,172.4,138.4,9.650943396226415,MIN,11.0,7.0,63.64,46.0,2.0,18.0,4.0,2.0,50.0,8.0,1.0,15.4
2013,KC,donnie avery,00-0026173,706,1079.0,16.0,40.0,596.0,2.0,71.0,917.0,10.06,10.34,218.0,71.6,111.6,91.6,12.915492957746478,KAN,4.0,3.0,75.0,16.0,1.0,5.3,2.0,1.0,50.0,5.0,1.0,6.1
2013,SD,eddie royal,00-0026182,703,1045.0,15.0,47.0,631.0,8.0,68.0,737.0,9.53,9.96,351.0,111.1,158.1,134.6,10.838235294117647,SDG,14.0,11.0,78.57,64.0,6.0,16.1,6.0,5.0,83.33,19.0,3.0,14.0
2013,BUF,steve johnson,00-0026364,701,877.0,12.0,52.0,597.0,3.0,101.0,889.0,14.41,14.55,211.0,77.7,129.7,103.7,8.801980198019802,BUF,12.0,6.0,50.0,48.0,3.0,32.4,5.0,1.0,20.0,2.0,1.0,27.8
2013,NO,kenny stills,00-0030085,690,1127.0,16.0,32.0,641.0,5.0,50.0,890.0,7.25,7.68,203.0,94.10000000000001,126.10000000000001,110.10000000000001,17.8,NOR,2.0,1.0,50.0,4.0,0.0,2.4,1.0,0.0,0.0,0.0,0.0,2.4
2013,DAL,terrance williams,00-0030542,678,997.0,16.0,44.0,736.0,5.0,74.0,1027.0,10.91,11.36,204.0,103.60000000000001,147.60000000000002,125.60000000000001,13.878378378378379,DAL,9.0,4.0,44.44,48.0,2.0,13.8,5.0,2.0,40.0,15.0,1.0,12.5
2013,GB,jarrett boykin,00-0029051,663,1122.0,16.0,49.0,681.0,3.0,83.0,838.0,12.52,12.52,256.0,86.10000000000001,135.10000000000002,110.60000000000001,10.096385542168674,GNB,14.0,7.0,50.0,41.0,2.0,16.5,8.0,2.0,25.0,11.0,2.0,16.0
2013,MIN,jerome simpson,00-0026186,643,1041.0,16.0,48.0,726.0,1.0,100.0,1388.0,15.55,15.55,170.0,78.60000000000001,126.60000000000001,102.60000000000001,13.88,MIN,8.0,1.0,12.5,8.0,1.0,13.1,3.0,1.0,33.33,8.0,1.0,11.5
2013,PIT,jerricho cotchery,00-0022811,636,1052.0,16.0,46.0,602.0,10.0,76.0,763.0,11.95,12.11,218.0,120.2,166.2,143.2,10.039473684210526,PIT,17.0,9.0,52.94,72.0,8.0,19.5,10.0,6.0,60.0,33.0,6.0,25.6
2013,ARI,andre roberts,00-0027691,605,1084.0,16.0,43.0,471.0,2.0,76.0,850.0,12.56,12.56,113.0,59.1,102.1,80.6,11.18421052631579,ARI,6.0,2.0,33.33,25.0,1.0,8.8,3.0,0.0,0.0,0.0,0.0,9.1
2013,IND,darrius heyward-bey,00-0026983,603,1070.0,16.0,29.0,309.0,1.0,64.0,658.0,10.61,11.11,124.0,36.900000000000006,65.9,51.400000000000006,10.28125,IND,10.0,2.0,20.0,15.0,1.0,13.7,7.0,1.0,14.29,4.0,0.0,20.6
2013,JAX,ace sanders,00-0030550,601,996.0,15.0,51.0,484.0,1.0,87.0,502.0,14.48,14.81,297.0,54.400000000000006,105.4,79.9,5.7701149425287355,JAX,10.0,5.0,50.0,30.0,1.0,13.2,5.0,2.0,40.0,5.0,0.0,12.2
2013,NYJ,stephen hill,00-0028995,594,782.0,12.0,24.0,342.0,1.0,59.0,861.0,9.93,9.93,91.0,40.2,64.2,52.2,14.59322033898305,NYJ,5.0,0.0,0.0,0.0,0.0,10.2,2.0,0.0,0.0,0.0,0.0,8.3
2013,OAK,denarius moore,00-0028086,590,854.0,13.0,46.0,695.0,5.0,86.0,860.0,14.58,14.58,274.0,99.5,145.5,122.5,10.0,OAK,10.0,4.0,40.0,12.0,3.0,18.9,9.0,3.0,33.33,12.0,3.0,31.0
2013,KC,dexter mccluster,00-0027651,581,1025.0,15.0,53.0,511.0,2.0,83.0,558.0,14.29,15.66,309.0,63.1,116.1,89.6,6.72289156626506,KAN,10.0,9.0,90.0,61.0,1.0,13.3,2.0,2.0,100.0,7.0,1.0,6.1
2013,LAR,austin pettis,00-0028016,579,1004.0,16.0,38.0,399.0,4.0,63.0,628.0,10.88,10.88,118.0,63.900000000000006,101.9,82.9,9.968253968253968,STL,8.0,4.0,50.0,20.0,3.0,10.8,6.0,3.0,50.0,11.0,3.0,15.0
2013,NYG,rueben randle,00-0029262,578,1026.0,16.0,41.0,611.0,6.0,78.0,1151.0,13.49,13.49,198.0,97.1,138.1,117.6,14.756410256410257,NYG,4.0,3.0,75.0,10.0,2.0,7.3,3.0,2.0,66.67,11.0,2.0,15.0
2013,JAX,mike brown,00-0029155,577,740.0,11.0,32.0,446.0,2.0,56.0,550.0,9.71,9.71,154.0,56.6,88.6,72.6,9.821428571428571,JAX,7.0,3.0,42.86,24.0,1.0,9.2,4.0,1.0,25.0,7.0,1.0,9.8
2013,NE,kenbrell thompkins,00-0030000,575,891.0,12.0,32.0,466.0,4.0,69.0,831.0,12.0,12.0,139.0,70.6,102.6,86.6,12.043478260869565,NWE,10.0,5.0,50.0,60.0,4.0,12.5,6.0,2.0,33.33,9.0,1.0,15.8
2013,NE,danny amendola,00-0026035,571,917.0,12.0,54.0,633.0,2.0,83.0,747.0,14.54,14.71,268.0,75.30000000000001,129.3,102.30000000000001,9.0,NWE,6.0,3.0,50.0,25.0,1.0,7.5,4.0,2.0,50.0,9.0,1.0,10.5
