"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Damiere Byrd","ATL","27.1","328.0","1.2","0.0","1.0","0.0","0.6","38.9"
"Tylan Wallace","BAL","22.0","271.4","1.9","0.0","0.0","0.0","0.2","38.0"
"Demarcus Robinson","LV","22.1","256.4","1.8","0.0","0.0","0.0","0.1","35.9"
"Romeo Doubs","GB","17.6","213.4","1.9","0.0","0.0","0.0","0.1","32.4"
"Zach Pascal","PHI","16.4","198.6","2.1","0.0","0.0","0.0","0.1","32.2"
"Josh Reynolds","DET","15.9","219.4","1.7","0.0","0.0","0.0","0.1","32.2"
"Freddie Swain","SEA","17.5","217.2","1.1","2.0","12.0","0.1","0.1","29.7"
"Tyquan Thornton","NE","17.2","203.3","1.3","0.0","0.0","0.0","0.1","27.9"
"Calvin Austin III","PIT","18.2","203.1","1.0","0.0","0.0","0.0","0.1","26.3"
"Ashton Dulin","IND","12.7","157.4","1.0","4.7","30.1","0.2","0.1","25.9"
"Tyler Johnson","TB","16.0","178.1","1.3","0.0","0.0","0.0","0.1","25.7"
"Phillip Dorsett II","HOU","14.6","175.4","0.9","0.0","0.0","0.0","0.1","23.0"
"Bisi Johnson","MIN","14.6","159.2","1.1","0.0","0.0","0.0","0.1","22.4"
"Laquon Treadwell","JAC","14.9","164.6","1.0","0.0","0.0","0.0","0.1","22.4"
"Racey McMath","TEN","13.2","160.1","1.0","0.0","0.0","0.0","0.1","21.8"
"Brandon Zylstra","CAR","14.6","168.6","0.7","0.0","0.0","0.0","0.1","20.7"
"Dazz Newsome","CHI","13.1","156.9","0.9","0.0","0.0","0.0","0.1","20.7"
"Danny Gray","SF","11.6","135.3","0.9","0.0","0.0","0.0","0.1","18.9"
"Jalen Reagor","PHI","5.5","68.2","0.6","9.4","51.3","0.3","0.2","17.0"
"Trent Sherfield","MIA","10.0","118.8","0.9","0.0","0.0","0.0","0.1","17.0"
"Antoine Wesley","ARI","9.3","113.7","0.8","0.0","0.0","0.0","0.1","16.2"
"Kyle Philips","TEN","9.9","116.7","0.8","0.0","0.0","0.0","0.1","16.2"
"Equanimeous St. Brown","CHI","9.0","123.1","0.5","0.0","0.0","0.0","0.1","15.3"
"Erik Ezukanma","MIA","9.2","102.7","0.8","0.0","0.0","0.0","0.1","15.0"
"Kalif Raymond","DET","8.0","91.7","0.6","2.1","12.7","0.1","0.1","14.4"
"Jamal Agnew","JAC","6.9","80.7","0.4","3.9","30.0","0.2","0.1","14.2"
"Dyami Brown","WAS","7.9","97.0","0.7","0.0","0.0","0.0","0.1","13.6"
"Quez Watkins","PHI","7.7","95.6","0.7","0.0","0.0","0.0","0.0","13.4"
"Collin Johnson","NYG","9.0","102.5","0.6","0.0","0.0","0.0","0.1","13.4"
"Simi Fehoko","DAL","7.5","86.8","0.7","0.0","0.0","0.0","0.1","12.9"
"Ben Skowronek","LAR","6.8","84.2","0.6","0.0","0.0","0.0","0.1","12.0"
"Juwann Winfree","GB","6.5","79.1","0.6","0.0","0.0","0.0","0.1","11.6"
"Ihmir Smith-Marsette","MIN","6.9","80.9","0.6","0.0","0.0","0.0","0.1","11.5"
"Tre'Quan Smith","NO","6.7","73.1","0.6","0.0","0.0","0.0","0.1","11.0"
"Chris Moore","HOU","7.8","81.3","0.3","0.0","0.0","0.0","0.1","10.0"
"Cody Hollister","TEN","6.0","74.6","0.4","0.0","0.0","0.0","0.0","10.0"
"Mack Hollins","LV","4.9","64.7","0.6","0.0","0.0","0.0","0.0","9.9"
"KhaDarel Hodge","ATL","6.0","74.0","0.4","0.0","0.0","0.0","0.0","9.6"
"Tyron Johnson","LV","5.4","67.8","0.4","0.0","0.0","0.0","0.0","9.3"
"Jakeem Grant Sr.","CLE","4.8","58.4","0.3","2.2","12.9","0.1","0.0","9.2"
"DeAndre Carter","LAC","5.3","60.2","0.5","0.0","0.0","0.0","0.1","8.7"
"Rashard Higgins","CAR","6.8","72.1","0.3","0.0","0.0","0.0","0.1","8.6"
"Trent Taylor","CIN","4.9","57.0","0.5","0.0","0.0","0.0","0.0","8.6"
"Kendall Hinton","DEN","5.1","56.6","0.5","0.0","0.0","0.0","0.0","8.5"
"Mike Thomas","CIN","4.9","59.0","0.4","0.0","0.0","0.0","0.0","8.2"
"Khalil Shakir","BUF","3.7","42.5","0.4","2.0","12.1","0.1","0.0","8.2"
"Denzel Mims","NYJ","4.3","58.6","0.4","0.0","0.0","0.0","0.0","8.1"
"Mike Strachan","IND","4.8","54.7","0.4","0.0","0.0","0.0","0.0","7.8"
"Deonte Harty","NO","4.8","60.1","0.3","0.0","0.0","0.0","0.0","7.6"
"Marquise Goodwin","SEA","4.3","59.5","0.3","0.0","0.0","0.0","0.0","7.4"
"Miles Boykin","PIT","4.7","55.5","0.3","0.0","0.0","0.0","0.0","7.3"
"Ray-Ray McCloud","SF","5.7","55.2","0.3","0.0","0.0","0.0","0.0","7.3"
"Josh Gordon","KC","3.4","47.8","0.4","0.0","0.0","0.0","0.0","7.2"
"Jaelon Darden","TB","3.7","44.9","0.4","0.0","0.0","0.0","0.0","6.5"
"Cyril Grayson Jr.","TB","3.7","46.7","0.3","0.0","0.0","0.0","0.0","6.5"
