,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
123,DeeJay Dallas,SEA,RB,11.1,47.0,0.4,6.3,39.9,0.1,0.1,0.0,0.0,0,0.0,0.0
124,Jason Huntley,PHI,RB,13.2,56.6,0.5,3.4,23.7,0.1,0.1,0.0,0.0,0,0.0,0.0
125,Jeremy McNichols,ATL,RB,14.6,60.6,0.3,3.7,26.7,0.1,0.0,0.0,0.0,0,0.0,0.0
126,Godwin Igwebuike,DET,RB,12.0,52.4,0.4,3.9,28.5,0.1,0.1,0.0,0.0,0,0.0,0.0
127,JaQuan Hardy,DAL,RB,12.6,54.3,0.5,2.2,16.2,0.1,0.1,0.0,0.0,0,0.0,0.0
128,Dare Ogunbowale,HOU,RB,10.6,44.2,0.4,4.1,30.5,0.1,0.0,0.0,0.0,0,0.0,0.0
129,Kylin Hill,GB,RB,11.4,49.1,0.3,2.0,14.9,0.1,0.1,0.0,0.0,0,0.0,0.0
130,C.J. Ham,MIN,RB,0.0,0.0,0.0,8.7,63.8,0.4,0.0,0.0,0.0,0,0.0,0.0
131,Dwayne Washington,NO,RB,8.3,36.0,0.2,3.7,26.8,0.1,0.0,0.0,0.0,0,0.0,0.0
132,Ryquell Armstead,JAC,RB,10.7,45.9,0.4,1.5,11.6,0.1,0.0,0.0,0.0,0,0.0,0.0
133,Alec Ingold,MIA,RB,4.0,16.7,0.2,4.5,32.4,0.3,0.1,0.0,0.0,0,0.0,0.0
134,Jakob Johnson,LV,RB,4.0,16.6,0.2,4.4,32.8,0.3,0.1,0.0,0.0,0,0.0,0.0
135,Trenton Cannon,TEN,RB,4.5,19.0,0.1,3.8,29.2,0.1,0.0,0.0,0.0,0,0.0,0.0
136,Trey Edmunds,PIT,RB,7.4,31.7,0.2,2.1,14.3,0.1,0.0,0.0,0.0,0,0.0,0.0
